Workload,Record_Count,Operation_Count,No.threads,Consistency,Replication,Runtime (ms),Throughput (ops/sec),Read_Latency (ms),Write_Latency (ms)
workload-A,4250000,5000000,160,STCC,Full,192.21,25154.06,8.92,14.02
workload-A,4250000,250000,320,STCC,Full,91.61,2501.45,9.47,14.07
workload-A,4250000,500000,320,STCC,Full,94.01,4818.78,9.08,14.47
workload-A,4250000,750000,320,STCC,Full,97.0,7519.97,8.93,14.61
workload-A,4250000,1000000,320,STCC,Full,88.8,10182.62,9.04,14.48
workload-A,4250000,1250000,320,STCC,Full,89.09,12134.53,9.42,13.35
workload-A,4250000,1500000,320,STCC,Full,91.05,14460.07,9.61,14.54
workload-A,4250000,1750000,320,STCC,Full,97.56,17923.84,9.53,13.73
workload-A,4250000,2000000,320,STCC,Full,94.68,18832.6,9.32,13.91
workload-A,4250000,2250000,320,STCC,Full,91.22,21141.66,9.03,14.29
workload-A,4250000,2500000,320,STCC,Full,95.07,23677.61,9.57,13.36
workload-A,4250000,2750000,320,STCC,Full,97.03,25912.35,9.31,13.7
workload-A,4250000,3000000,320,STCC,Full,95.15,29816.79,9.08,13.25
workload-A,4250000,3250000,320,STCC,Full,96.66,32337.0,9.36,13.63
workload-A,4250000,3500000,320,STCC,Full,96.98,34532.0,9.58,13.33
workload-A,4250000,3750000,320,STCC,Full,90.4,37298.87,9.18,14.3
workload-A,4250000,4000000,320,STCC,Full,97.59,41061.03,8.91,13.56
workload-A,4250000,4250000,320,STCC,Full,89.3,41179.42,9.61,13.63
workload-A,4250000,4500000,320,STCC,Full,93.01,43714.23,8.93,14.45
workload-A,4250000,4750000,320,STCC,Full,97.29,45487.19,8.94,13.3
workload-A,4250000,5000000,320,STCC,Full,94.83,50244.7,9.32,13.86
workload-A,4500000,250000,32,STCC,Full,942.52,230.34,9.38,13.53
workload-A,4500000,500000,32,STCC,Full,1009.76,466.07,9.08,13.95
workload-A,4500000,750000,32,STCC,Full,996.04,716.83,9.05,14.24
workload-A,4500000,1000000,32,STCC,Full,984.39,911.36,8.99,13.91
workload-A,4500000,1250000,32,STCC,Full,1032.5,1170.88,9.53,13.78
workload-A,4500000,1500000,32,STCC,Full,973.52,1412.65,9.02,13.66
workload-A,4500000,1750000,32,STCC,Full,1003.35,1661.44,9.46,13.32
workload-A,4500000,2000000,32,STCC,Full,992.75,1879.68,9.55,13.36
workload-A,4500000,2250000,32,STCC,Full,951.63,2026.03,9.02,14.66
workload-A,4500000,2500000,32,STCC,Full,937.59,2418.66,9.52,14.08
workload-A,4500000,2750000,32,STCC,Full,961.96,2606.25,9.58,14.36
workload-A,4500000,3000000,32,STCC,Full,947.23,2736.04,9.4,14.2
workload-A,4500000,3250000,32,STCC,Full,964.3,3104.31,9.34,14.04
workload-A,4500000,3500000,32,STCC,Full,975.81,3095.73,9.69,13.44
workload-A,4500000,3750000,32,STCC,Full,1001.16,3476.6,9.72,13.39
workload-A,4500000,4000000,32,STCC,Full,1027.04,3821.95,9.39,14.46
workload-A,4500000,4250000,32,STCC,Full,996.92,3894.09,9.4,14.13
workload-A,4500000,4500000,32,STCC,Full,1004.45,4105.16,9.37,14.37
workload-A,4500000,4750000,32,STCC,Full,947.57,4254.27,9.32,13.35
workload-A,4500000,5000000,32,STCC,Full,976.06,4794.65,9.5,14.45
workload-A,4500000,250000,64,STCC,Full,479.26,477.38,9.17,13.91
workload-A,4500000,500000,64,STCC,Full,474.04,896.96,8.85,14.52
workload-A,4500000,750000,64,STCC,Full,511.52,1387.04,9.6,13.66
workload-A,4500000,1000000,64,STCC,Full,493.32,1910.83,9.57,14.27
workload-A,4500000,1250000,64,STCC,Full,484.0,2222.0,9.47,14.66
workload-A,4500000,1500000,64,STCC,Full,491.72,2813.39,8.89,14.32
workload-A,4500000,1750000,64,STCC,Full,494.58,3136.98,9.59,13.62
workload-A,4500000,2000000,64,STCC,Full,506.1,3697.75,9.74,14.41
workload-A,4500000,2250000,64,STCC,Full,483.34,4321.78,9.5,14.01
workload-A,4500000,2500000,64,STCC,Full,474.82,4535.13,8.96,13.9
workload-A,4500000,2750000,64,STCC,Full,495.84,4943.01,9.42,14.39
workload-A,4500000,3000000,64,STCC,Full,494.8,5594.35,9.29,13.5
workload-A,4500000,3250000,64,STCC,Full,512.89,5886.06,8.88,13.63
workload-A,4500000,3500000,64,STCC,Full,491.52,6622.58,9.56,14.02
workload-A,4500000,3750000,64,STCC,Full,474.99,6923.65,8.9,13.9
workload-A,4500000,4000000,64,STCC,Full,486.23,7292.5,8.98,14.36
workload-A,4500000,4250000,64,STCC,Full,504.66,7871.28,9.43,13.37
workload-A,4500000,4500000,64,STCC,Full,482.77,8350.78,9.2,14.01
workload-A,4500000,4750000,64,STCC,Full,494.46,8847.76,9.56,14.56
workload-A,4500000,5000000,64,STCC,Full,502.02,9545.18,9.76,14.36
workload-A,4500000,250000,160,STCC,Full,203.65,1147.88,9.11,13.92
workload-A,4500000,500000,160,STCC,Full,192.14,2214.95,9.72,14.4
workload-A,4500000,750000,160,STCC,Full,206.39,3373.84,9.26,13.75
workload-A,4500000,1000000,160,STCC,Full,198.08,4532.46,9.5,14.59
workload-A,4500000,1250000,160,STCC,Full,188.02,5652.07,9.28,14.43
workload-A,4500000,1500000,160,STCC,Full,203.25,6716.33,9.43,13.34
workload-A,4500000,1750000,160,STCC,Full,198.31,7873.67,9.17,13.57
workload-A,4500000,2000000,160,STCC,Full,204.76,9311.16,9.19,13.97
workload-A,4500000,2250000,160,STCC,Full,203.38,10071.02,8.95,14.67
workload-A,4500000,2500000,160,STCC,Full,204.49,11878.67,9.04,14.61
workload-A,4500000,2750000,160,STCC,Full,194.93,12514.35,9.44,14.43
workload-A,4500000,3000000,160,STCC,Full,197.29,14520.38,9.09,13.7
workload-A,4500000,3250000,160,STCC,Full,190.42,14759.22,9.01,13.78
workload-A,4500000,3500000,160,STCC,Full,202.98,16029.56,9.57,13.9
workload-A,4500000,3750000,160,STCC,Full,198.52,17184.19,9.16,14.44
workload-A,4500000,4000000,160,STCC,Full,190.84,17868.34,8.95,14.5
workload-A,4500000,4250000,160,STCC,Full,206.06,19661.63,9.03,14.19
workload-A,4500000,4500000,160,STCC,Full,197.15,21368.95,9.76,13.95
workload-A,4500000,4750000,160,STCC,Full,206.45,22956.57,8.88,13.91
workload-A,4500000,5000000,160,STCC,Full,187.73,23032.8,9.35,13.98
workload-A,4500000,250000,320,STCC,Full,102.86,2196.22,9.68,14.19
workload-A,4500000,500000,320,STCC,Full,101.26,4729.39,9.18,13.39
workload-A,4500000,750000,320,STCC,Full,96.07,7111.72,9.57,14.61
workload-A,4500000,1000000,320,STCC,Full,98.35,9126.7,9.4,14.4
workload-A,4500000,1250000,320,STCC,Full,94.93,12049.63,9.64,13.87
workload-A,4500000,1500000,320,STCC,Full,102.64,13463.85,9.67,13.86
workload-A,4500000,1750000,320,STCC,Full,93.52,15648.92,9.39,13.39
workload-A,4500000,2000000,320,STCC,Full,95.99,19409.18,8.93,13.82
workload-A,4500000,2250000,320,STCC,Full,96.26,20195.45,9.43,13.85
workload-A,4500000,2500000,320,STCC,Full,101.11,23625.26,9.14,13.65
workload-A,4500000,2750000,320,STCC,Full,94.06,26426.85,9.62,13.88
workload-A,4500000,3000000,320,STCC,Full,94.11,27194.61,8.89,13.32
workload-A,4500000,3250000,320,STCC,Full,97.26,30859.06,9.77,14.1
workload-A,4500000,3500000,320,STCC,Full,95.35,31460.27,9.4,14.21
workload-A,4500000,3750000,320,STCC,Full,95.94,33915.01,9.77,13.39
workload-A,4500000,4000000,320,STCC,Full,102.57,37787.75,9.15,13.69
workload-A,4500000,4250000,320,STCC,Full,100.21,37901.89,9.45,14.48
workload-A,4500000,4500000,320,STCC,Full,99.48,41280.12,9.55,14.63
workload-A,4500000,4750000,320,STCC,Full,101.82,41745.93,9.2,14.47
workload-A,4500000,5000000,320,STCC,Full,98.7,47964.32,9.67,13.82
workload-A,4750000,250000,32,STCC,Full,1086.91,210.52,9.73,13.73
workload-A,4750000,500000,32,STCC,Full,1066.74,446.6,9.59,14.58
workload-A,4750000,750000,32,STCC,Full,1066.43,641.88,9.78,13.36
workload-A,4750000,1000000,32,STCC,Full,1059.68,836.32,9.44,14.21
workload-A,4750000,1250000,32,STCC,Full,1052.36,1149.42,9.66,13.74
workload-A,4750000,1500000,32,STCC,Full,1041.16,1309.08,9.79,13.52
workload-A,4750000,1750000,32,STCC,Full,1066.45,1564.17,8.97,13.73
workload-A,4750000,2000000,32,STCC,Full,1015.7,1664.43,9.53,13.63
workload-A,4750000,2250000,32,STCC,Full,1015.32,1966.53,9.04,14.7
workload-A,4750000,2500000,32,STCC,Full,1036.64,2100.71,9.4,13.35
workload-A,4750000,2750000,32,STCC,Full,1068.3,2437.51,9.27,13.6
workload-A,4750000,3000000,32,STCC,Full,1001.04,2602.99,9.28,14.04
workload-A,4750000,3250000,32,STCC,Full,1088.81,2932.42,9.59,14.58
workload-A,4750000,3500000,32,STCC,Full,987.97,3016.46,9.29,14.48
workload-A,4750000,3750000,32,STCC,Full,1048.57,3414.26,8.96,14.63
workload-A,4750000,4000000,32,STCC,Full,1025.75,3376.21,9.79,14.05
workload-A,4750000,4250000,32,STCC,Full,998.44,3593.11,9.23,14.47
workload-A,4750000,4500000,32,STCC,Full,1011.38,3929.63,9.11,13.43
workload-A,4750000,4750000,32,STCC,Full,1063.6,4235.34,9.0,13.99
workload-A,4750000,5000000,32,STCC,Full,1034.89,4406.96,9.57,13.88
workload-A,4750000,250000,64,STCC,Full,534.24,420.14,8.9,13.73
workload-A,4750000,500000,64,STCC,Full,543.22,865.19,9.01,13.6
workload-A,4750000,750000,64,STCC,Full,540.41,1361.26,9.58,14.53
workload-A,4750000,1000000,64,STCC,Full,497.81,1809.2,9.06,13.57
workload-A,4750000,1250000,64,STCC,Full,513.82,2188.41,9.55,14.25
workload-A,4750000,1500000,64,STCC,Full,497.97,2600.75,8.99,14.54
workload-A,4750000,1750000,64,STCC,Full,526.58,3205.01,9.56,14.44
workload-A,4750000,2000000,64,STCC,Full,519.67,3477.08,9.44,14.12
workload-A,4750000,2250000,64,STCC,Full,513.86,3973.89,9.59,13.41
workload-A,4750000,2500000,64,STCC,Full,501.36,4376.83,9.41,14.18
workload-A,4750000,2750000,64,STCC,Full,515.13,4944.26,9.36,14.17
workload-A,4750000,3000000,64,STCC,Full,526.95,5242.81,9.26,14.31
workload-A,4750000,3250000,64,STCC,Full,519.84,5929.44,9.25,14.57
workload-A,4750000,3500000,64,STCC,Full,501.51,6182.74,8.99,13.82
workload-A,4750000,3750000,64,STCC,Full,502.26,6702.63,8.88,13.35
workload-A,4750000,4000000,64,STCC,Full,533.71,7102.45,9.71,14.3
workload-A,4750000,4250000,64,STCC,Full,543.7,7788.65,9.26,14.01
workload-A,4750000,4500000,64,STCC,Full,538.17,7536.65,9.15,14.24
workload-A,4750000,4750000,64,STCC,Full,534.48,8617.11,9.48,14.21
workload-A,4750000,5000000,64,STCC,Full,521.94,9155.13,9.17,14.18
workload-A,4750000,250000,160,STCC,Full,213.99,1145.6,9.72,14.21
workload-A,4750000,500000,160,STCC,Full,202.06,2090.18,8.91,13.63
workload-A,4750000,750000,160,STCC,Full,216.65,3300.13,9.15,14.64
workload-A,4750000,1000000,160,STCC,Full,211.99,4384.41,9.4,13.95
workload-A,4750000,1250000,160,STCC,Full,202.95,5600.02,9.02,14.26
workload-A,4750000,1500000,160,STCC,Full,201.56,6373.35,9.07,13.43
workload-A,4750000,1750000,160,STCC,Full,207.59,7994.45,9.03,13.71
workload-A,4750000,2000000,160,STCC,Full,210.39,8447.21,9.44,14.53
workload-A,4750000,2250000,160,STCC,Full,207.6,9405.98,8.93,14.16
workload-A,4750000,2500000,160,STCC,Full,203.3,11246.09,9.81,13.52
workload-A,4750000,2750000,160,STCC,Full,203.06,12310.22,9.05,14.55
workload-A,4750000,3000000,160,STCC,Full,200.63,13144.37,9.17,14.07
workload-A,4750000,3250000,160,STCC,Full,211.73,13569.2,9.68,13.6
workload-A,4750000,3500000,160,STCC,Full,213.75,15658.85,9.7,14.4
workload-A,4750000,3750000,160,STCC,Full,198.23,16228.81,9.25,14.42
workload-A,4750000,4000000,160,STCC,Full,209.56,18006.71,9.37,14.02
workload-A,4750000,4250000,160,STCC,Full,211.96,18682.87,9.27,13.75
workload-A,4750000,4500000,160,STCC,Full,209.86,20552.24,9.57,13.88
workload-A,4750000,4750000,160,STCC,Full,202.36,21395.13,8.88,13.43
workload-A,4750000,5000000,160,STCC,Full,213.5,22906.67,9.67,14.06
workload-A,4750000,250000,320,STCC,Full,107.64,2230.35,9.66,14.16
workload-A,4750000,500000,320,STCC,Full,104.64,4199.55,9.04,13.6
workload-A,4750000,750000,320,STCC,Full,105.66,6546.33,9.09,14.16
workload-A,4750000,1000000,320,STCC,Full,100.27,9135.48,9.49,14.45
workload-A,4750000,1250000,320,STCC,Full,99.24,11011.13,9.27,14.59
workload-A,4750000,1500000,320,STCC,Full,101.42,12569.69,9.09,13.52
workload-A,4750000,1750000,320,STCC,Full,107.89,14957.28,9.67,14.15
workload-A,4750000,2000000,320,STCC,Full,99.39,17006.86,8.99,13.61
workload-A,4750000,2250000,320,STCC,Full,104.74,18829.93,9.23,14.21
workload-A,4750000,2500000,320,STCC,Full,105.7,22658.35,9.02,13.38
workload-A,4750000,2750000,320,STCC,Full,98.99,24346.94,9.81,14.65
workload-A,4750000,3000000,320,STCC,Full,101.2,27529.72,9.01,13.36
workload-A,4750000,3250000,320,STCC,Full,103.16,27643.73,9.17,13.68
workload-A,4750000,3500000,320,STCC,Full,106.68,29752.43,8.94,14.63
workload-A,4750000,3750000,320,STCC,Full,100.9,34269.45,9.04,13.76
workload-A,4750000,4000000,320,STCC,Full,99.4,36504.35,9.47,14.1
workload-A,4750000,4250000,320,STCC,Full,108.35,35886.69,9.39,13.5
workload-A,4750000,4500000,320,STCC,Full,107.39,41086.19,9.66,13.35
workload-A,4750000,4750000,320,STCC,Full,100.76,40379.98,9.03,14.36
workload-A,4750000,5000000,320,STCC,Full,105.22,45640.6,9.38,14.68
workload-A,5000000,250000,32,STCC,Full,1089.21,212.16,9.4,14.06
workload-A,5000000,500000,32,STCC,Full,1124.04,427.5,9.15,14.59
workload-A,5000000,750000,32,STCC,Full,1110.21,637.29,9.52,14.41
workload-A,5000000,1000000,32,STCC,Full,1095.95,834.28,8.96,13.38
workload-A,5000000,1250000,32,STCC,Full,1135.44,990.58,9.84,13.5
workload-A,5000000,1500000,32,STCC,Full,1051.97,1306.17,9.38,13.58
workload-A,5000000,1750000,32,STCC,Full,1084.37,1447.45,9.35,13.72
workload-A,5000000,2000000,32,STCC,Full,1127.77,1687.75,9.19,13.98
workload-A,5000000,2250000,32,STCC,Full,1102.3,1921.67,9.08,13.43
workload-A,5000000,2500000,32,STCC,Full,1126.49,2097.33,9.82,13.39
workload-A,5000000,2750000,32,STCC,Full,1103.31,2279.18,9.17,14.09
workload-A,5000000,3000000,32,STCC,Full,1069.97,2413.92,9.36,13.93
workload-A,5000000,3250000,32,STCC,Full,1066.93,2792.61,8.95,13.44
workload-A,5000000,3500000,32,STCC,Full,1054.37,2884.06,9.46,13.53
workload-A,5000000,3750000,32,STCC,Full,1080.72,3064.38,9.56,14.73
workload-A,5000000,4000000,32,STCC,Full,1053.25,3451.02,8.94,14.42
workload-A,5000000,4250000,32,STCC,Full,1064.93,3543.55,9.57,14.54
workload-A,5000000,4500000,32,STCC,Full,1044.87,3781.89,9.4,13.89
workload-A,5000000,4750000,32,STCC,Full,1108.91,3856.34,9.32,13.97
workload-A,5000000,5000000,32,STCC,Full,1066.86,4291.53,9.26,13.72
workload-A,5000000,250000,64,STCC,Full,534.46,427.76,9.28,13.95
workload-A,5000000,500000,64,STCC,Full,523.93,799.08,9.31,13.85
workload-A,5000000,750000,64,STCC,Full,555.16,1271.92,9.67,13.84
workload-A,5000000,1000000,64,STCC,Full,524.51,1641.65,9.07,14.19
workload-A,5000000,1250000,64,STCC,Full,525.9,2030.5,9.39,13.78
workload-A,5000000,1500000,64,STCC,Full,565.8,2523.79,9.37,13.86
workload-A,5000000,1750000,64,STCC,Full,538.38,2808.41,9.37,13.7
workload-A,5000000,2000000,64,STCC,Full,526.28,3249.79,9.66,14.37
workload-A,5000000,2250000,64,STCC,Full,534.56,3846.61,9.31,14.32
workload-A,5000000,2500000,64,STCC,Full,523.69,3963.3,8.98,14.45
workload-A,5000000,2750000,64,STCC,Full,553.58,4705.42,9.33,14.1
workload-A,5000000,3000000,64,STCC,Full,549.32,5007.65,9.81,13.58
workload-A,5000000,3250000,64,STCC,Full,565.8,5400.3,9.2,14.49
workload-A,5000000,3500000,64,STCC,Full,529.69,5559.79,9.09,13.82
workload-A,5000000,3750000,64,STCC,Full,533.24,5945.23,9.79,14.64
workload-A,5000000,4000000,64,STCC,Full,564.66,6497.74,9.3,13.45
workload-A,5000000,4250000,64,STCC,Full,539.93,7050.49,9.36,14.39
workload-A,5000000,4500000,64,STCC,Full,548.78,7593.77,9.45,13.66
workload-A,5000000,4750000,64,STCC,Full,556.4,7700.36,8.94,13.99
workload-A,5000000,5000000,64,STCC,Full,534.01,7930.97,9.28,14.09
workload-A,5000000,250000,160,STCC,Full,219.83,1035.18,9.48,13.87
workload-A,5000000,500000,160,STCC,Full,218.55,2010.14,9.46,14.65
workload-A,5000000,750000,160,STCC,Full,213.81,3073.76,9.44,13.56
workload-A,5000000,1000000,160,STCC,Full,215.45,4004.54,9.13,14.11
workload-A,5000000,1250000,160,STCC,Full,222.88,5449.35,9.09,13.68
workload-A,5000000,1500000,160,STCC,Full,223.92,6255.61,9.82,14.5
workload-A,5000000,1750000,160,STCC,Full,209.53,7336.4,9.15,13.87
workload-A,5000000,2000000,160,STCC,Full,211.38,7920.05,9.6,14.75
workload-A,5000000,2250000,160,STCC,Full,210.5,9298.89,9.83,13.71
workload-A,5000000,2500000,160,STCC,Full,218.25,10535.87,9.78,13.87
workload-A,5000000,2750000,160,STCC,Full,211.9,11237.85,9.64,14.1
workload-A,5000000,3000000,160,STCC,Full,219.19,12883.74,9.5,14.55
workload-A,5000000,3250000,160,STCC,Full,222.13,13216.06,9.71,14.19
workload-A,5000000,3500000,160,STCC,Full,224.16,14552.1,9.59,13.46
workload-A,5000000,3750000,160,STCC,Full,219.27,15374.16,9.67,13.72
workload-A,5000000,4000000,160,STCC,Full,225.03,17357.91,9.43,14.44
workload-A,5000000,4250000,160,STCC,Full,220.78,17250.22,8.94,13.95
workload-A,5000000,4500000,160,STCC,Full,226.26,18588.64,9.06,14.19
workload-A,5000000,4750000,160,STCC,Full,215.55,20686.92,8.93,13.78
workload-A,5000000,5000000,160,STCC,Full,217.09,20182.56,9.7,13.76
workload-A,5000000,250000,320,STCC,Full,112.09,2108.47,9.33,13.95
workload-A,5000000,500000,320,STCC,Full,109.14,4031.29,8.92,14.67
workload-A,5000000,750000,320,STCC,Full,109.59,6347.88,9.06,13.53
workload-A,5000000,1000000,320,STCC,Full,111.2,8420.74,9.78,13.64
workload-A,5000000,1250000,320,STCC,Full,107.7,10508.64,9.07,14.54
workload-A,5000000,1500000,320,STCC,Full,113.85,12865.11,8.93,14.76
workload-A,5000000,1750000,320,STCC,Full,110.69,14072.27,9.38,13.45
workload-A,5000000,2000000,320,STCC,Full,111.14,16338.18,9.78,13.84
workload-A,5000000,2250000,320,STCC,Full,106.68,19457.63,9.68,14.42
workload-A,5000000,2500000,320,STCC,Full,105.2,21167.27,9.32,14.71
workload-A,5000000,2750000,320,STCC,Full,107.49,23162.43,9.4,13.96
workload-A,5000000,3000000,320,STCC,Full,112.51,25012.93,9.47,13.64
workload-A,5000000,3250000,320,STCC,Full,113.01,26211.85,9.74,13.59
workload-A,5000000,3500000,320,STCC,Full,113.49,29841.81,9.06,13.75
workload-A,5000000,3750000,320,STCC,Full,106.56,31444.36,9.71,14.47
workload-A,5000000,4000000,320,STCC,Full,114.26,33502.26,9.74,14.68
workload-A,5000000,4250000,320,STCC,Full,113.21,34306.46,9.39,14.04
workload-A,5000000,4500000,320,STCC,Full,114.39,38073.67,9.61,14.16
workload-A,5000000,4750000,320,STCC,Full,114.68,40041.8,9.08,13.43
workload-A,5000000,5000000,320,STCC,Full,111.3,43535.37,9.21,14.72
workload-A,250000,250000,32,STCC,Partial,62.23,3952.06,8.4,12.23
workload-A,250000,500000,32,STCC,Partial,65.75,7700.9,8.21,11.97
workload-A,250000,750000,32,STCC,Partial,59.91,12235.32,8.64,12.16
workload-A,250000,1000000,32,STCC,Partial,59.78,15311.75,8.44,11.97
workload-A,250000,1250000,32,STCC,Partial,65.51,19091.07,8.04,12.58
workload-A,250000,1500000,32,STCC,Partial,61.12,23664.61,8.31,12.19
workload-A,250000,1750000,32,STCC,Partial,62.9,27997.18,8.07,12.46
workload-A,250000,2000000,32,STCC,Partial,60.79,30536.75,8.46,11.99
workload-A,250000,2250000,32,STCC,Partial,63.58,35569.67,8.0,12.03
workload-A,250000,2500000,32,STCC,Partial,64.01,41006.89,8.37,12.48
workload-A,250000,2750000,32,STCC,Partial,62.95,45248.06,8.48,11.96
workload-A,250000,3000000,32,STCC,Partial,65.82,48641.93,8.11,11.85
workload-A,250000,3250000,32,STCC,Partial,61.37,49945.66,8.28,12.79
workload-A,250000,3500000,32,STCC,Partial,64.65,56339.26,8.57,12.6
workload-A,250000,3750000,32,STCC,Partial,62.6,56449.88,8.48,12.0
workload-A,250000,4000000,32,STCC,Partial,60.26,62431.77,8.03,13.02
workload-A,250000,4250000,32,STCC,Partial,62.42,69989.09,8.37,12.46
workload-A,250000,4500000,32,STCC,Partial,62.73,71751.22,8.52,11.87
workload-A,250000,4750000,32,STCC,Partial,61.04,74336.4,8.35,12.7
workload-A,250000,5000000,32,STCC,Partial,65.52,77744.77,8.07,12.8
workload-A,250000,250000,64,STCC,Partial,32.66,7656.9,8.0,12.39
workload-A,250000,500000,64,STCC,Partial,31.37,15348.51,8.61,12.98
workload-A,250000,750000,64,STCC,Partial,31.28,23512.82,8.56,13.02
workload-A,250000,1000000,64,STCC,Partial,30.57,31636.23,8.4,12.98
workload-A,250000,1250000,64,STCC,Partial,31.98,39287.55,7.91,12.45
workload-A,250000,1500000,64,STCC,Partial,32.88,49180.91,8.23,12.36
workload-A,250000,1750000,64,STCC,Partial,30.63,52661.73,8.58,12.5
workload-A,250000,2000000,64,STCC,Partial,31.36,65053.77,8.51,12.91
workload-A,250000,2250000,64,STCC,Partial,30.4,70078.09,8.4,12.37
workload-A,250000,2500000,64,STCC,Partial,29.89,78141.45,8.13,13.02
workload-A,250000,2750000,64,STCC,Partial,31.58,89976.22,8.53,12.33
workload-A,250000,3000000,64,STCC,Partial,32.95,98079.19,8.11,12.9
workload-A,250000,3250000,64,STCC,Partial,32.87,102326.41,8.53,11.89
workload-A,250000,3500000,64,STCC,Partial,30.2,113093.7,8.06,12.26
workload-A,250000,3750000,64,STCC,Partial,32.58,115896.35,8.15,11.9
workload-A,250000,4000000,64,STCC,Partial,30.66,132292.41,8.62,12.03
workload-A,250000,4250000,64,STCC,Partial,30.98,134344.75,8.53,12.41
workload-A,250000,4500000,64,STCC,Partial,30.65,148651.02,8.59,12.84
workload-A,250000,4750000,64,STCC,Partial,30.46,150236.44,8.07,12.97
workload-A,250000,5000000,64,STCC,Partial,31.51,159833.53,8.43,12.5
workload-A,250000,250000,160,STCC,Partial,12.45,19463.77,7.98,11.96
workload-A,250000,500000,160,STCC,Partial,11.99,37561.42,8.39,12.27
workload-A,250000,750000,160,STCC,Partial,12.98,57348.39,8.65,12.47
workload-A,250000,1000000,160,STCC,Partial,12.33,82394.79,8.28,12.23
workload-A,250000,1250000,160,STCC,Partial,12.58,101118.9,7.99,12.98
workload-A,250000,1500000,160,STCC,Partial,12.25,120438.17,8.39,13.0
workload-A,250000,1750000,160,STCC,Partial,13.14,131771.59,8.38,11.88
workload-A,250000,2000000,160,STCC,Partial,12.18,163248.91,8.32,13.0
workload-A,250000,2250000,160,STCC,Partial,12.03,185690.07,7.92,12.23
workload-A,250000,2500000,160,STCC,Partial,12.89,204391.09,8.01,11.89
workload-A,250000,2750000,160,STCC,Partial,12.02,217019.28,8.27,12.47
workload-A,250000,3000000,160,STCC,Partial,12.47,231506.67,8.5,12.57
workload-A,250000,3250000,160,STCC,Partial,12.55,255381.93,8.27,13.0
workload-A,250000,3500000,160,STCC,Partial,12.34,265702.25,8.36,12.6
workload-A,250000,3750000,160,STCC,Partial,13.11,300551.85,8.57,11.89
workload-A,250000,4000000,160,STCC,Partial,12.69,320506.31,8.37,12.88
workload-A,250000,4250000,160,STCC,Partial,12.38,351012.39,8.31,13.09
workload-A,250000,4500000,160,STCC,Partial,13.16,360155.8,8.63,12.56
workload-A,250000,4750000,160,STCC,Partial,12.98,387811.23,8.3,12.7
workload-A,250000,5000000,160,STCC,Partial,12.75,409854.72,8.42,13.03
workload-A,250000,250000,320,STCC,Partial,6.14,38122.4,8.12,12.26
workload-A,250000,500000,320,STCC,Partial,6.03,75741.98,8.42,12.85
workload-A,250000,750000,320,STCC,Partial,6.38,119770.81,8.64,12.44
workload-A,250000,1000000,320,STCC,Partial,6.41,162428.67,8.25,12.7
workload-A,250000,1250000,320,STCC,Partial,6.3,203729.45,8.33,12.2
workload-A,250000,1500000,320,STCC,Partial,6.16,243342.3,8.24,12.96
workload-A,250000,1750000,320,STCC,Partial,6.36,264937.81,8.1,12.37
workload-A,250000,2000000,320,STCC,Partial,6.42,303545.37,8.12,12.88
workload-A,250000,2250000,320,STCC,Partial,6.39,358042.17,8.05,11.99
workload-A,250000,2500000,320,STCC,Partial,6.33,401289.4,8.65,12.84
workload-A,250000,2750000,320,STCC,Partial,6.6,454654.61,8.01,12.02
workload-A,250000,3000000,320,STCC,Partial,6.5,451368.89,7.93,12.59
workload-A,250000,3250000,320,STCC,Partial,6.19,494921.67,8.13,11.86
workload-A,250000,3500000,320,STCC,Partial,6.59,551201.35,8.15,12.83
workload-A,250000,3750000,320,STCC,Partial,6.03,579724.9,8.48,11.9
workload-A,250000,4000000,320,STCC,Partial,6.47,626905.54,8.34,12.42
workload-A,250000,4250000,320,STCC,Partial,6.21,681505.43,8.37,12.99
workload-A,250000,4500000,320,STCC,Partial,6.18,716559.92,7.95,12.01
workload-A,250000,4750000,320,STCC,Partial,6.57,738843.13,7.91,13.04
workload-A,250000,5000000,320,STCC,Partial,6.42,821767.16,8.22,12.4
workload-A,500000,250000,32,STCC,Partial,125.79,1961.44,8.73,12.63
workload-A,500000,500000,32,STCC,Partial,123.93,3765.91,9.13,13.19
workload-A,500000,750000,32,STCC,Partial,130.66,6084.25,8.9,13.49
workload-A,500000,1000000,32,STCC,Partial,119.91,7587.18,8.35,13.8
workload-A,500000,1250000,32,STCC,Partial,122.62,10180.13,9.17,12.59
workload-A,500000,1500000,32,STCC,Partial,119.65,12053.06,9.08,13.48
workload-A,500000,1750000,32,STCC,Partial,125.51,13581.95,8.51,13.52
workload-A,500000,2000000,32,STCC,Partial,125.46,15396.58,9.03,13.25
workload-A,500000,2250000,32,STCC,Partial,125.5,18658.78,8.55,13.09
workload-A,500000,2500000,32,STCC,Partial,120.32,20505.06,9.01,12.68
workload-A,500000,2750000,32,STCC,Partial,121.73,22147.92,9.05,13.28
workload-A,500000,3000000,32,STCC,Partial,124.86,24758.6,8.59,12.72
workload-A,500000,3250000,32,STCC,Partial,131.87,26230.38,8.43,13.0
workload-A,500000,3500000,32,STCC,Partial,122.41,28225.15,8.61,13.41
workload-A,500000,3750000,32,STCC,Partial,122.07,30968.95,8.79,13.68
workload-A,500000,4000000,32,STCC,Partial,127.67,32975.41,8.76,13.18
